user_ID,video_ID,video_name,rating_type,rating,timestamp
7,6,['videos\\sport\\tycr7_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],artifacts,on,2023-10-19 12:27:53 814231
8,0,['videos\\animated\\penc_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],radio,4,2023-10-19 16:40:14 583298
8,0,['videos\\animated\\penc_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-19 16:40:14 583298
8,0,['videos\\animated\\penc_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-19 16:40:14 583298
8,1,['videos\\documentary\\spreader_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-19 16:41:31 447559
8,1,['videos\\documentary\\spreader_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-19 16:41:31 447559
8,1,['videos\\documentary\\spreader_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],artifacts,on,2023-10-19 16:41:31 447559
8,2,['videos\\gaming\\pocket_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],radio,3,2023-10-19 16:42:46 604879
8,2,['videos\\gaming\\pocket_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-19 16:42:46 604879
8,3,['videos\\movie\\terminator_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-19 16:44:25 642780
8,3,['videos\\movie\\terminator_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-19 16:44:25 642780
8,3,['videos\\movie\\terminator_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-19 16:44:25 642780
8,4,['videos\\music\\rmoff_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-19 16:47:37 119338
8,4,['videos\\music\\rmoff_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],stalling,on,2023-10-19 16:47:37 119338
8,4,['videos\\music\\rmoff_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-19 16:47:37 119338
8,4,['videos\\music\\rmoff_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],artifacts,on,2023-10-19 16:47:37 119338
8,5,['videos\\news\\fox_vodafone_IE_2019.02.26_17.47.50_R2-V0-A1-UP0-SD4.mkv'],radio,4,2023-10-19 16:53:52 002428
8,5,['videos\\news\\fox_vodafone_IE_2019.02.26_17.47.50_R2-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-19 16:53:52 002428
8,6,['videos\\sport\\tycr7_report.2011-04-21_1135CEST_R2-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-19 16:59:11 855039
8,6,['videos\\sport\\tycr7_report.2011-04-21_1135CEST_R2-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-19 16:59:11 855039
8,6,['videos\\sport\\tycr7_report.2011-04-21_1135CEST_R2-V0-A1-UP0-SD4.mkv'],artifacts,on,2023-10-19 16:59:11 855039
9,0,['videos\\animated\\titans_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-23 13:16:55 554229
9,0,['videos\\animated\\titans_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-23 13:16:55 554229
9,0,['videos\\animated\\titans_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],artifacts,on,2023-10-23 13:16:55 554229
9,0,['videos\\animated\\titans_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],uniteresting_content,on,2023-10-23 13:16:55 554229
9,1,['videos\\documentary\\spreader_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],radio,3,2023-10-23 13:18:10 114898
9,1,['videos\\documentary\\spreader_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],artifacts,on,2023-10-23 13:18:10 114898
9,2,['videos\\gaming\\pocket_vodafone_IE_2019.02.26_17.47.50_R2-V0-A1-UP0-SD4.mkv'],radio,4,2023-10-23 13:19:11 198315
9,2,['videos\\gaming\\pocket_vodafone_IE_2019.02.26_17.47.50_R2-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 13:19:11 198315
9,3,['videos\\movie\\mrbean_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],radio,4,2023-10-23 13:27:47 287614
9,3,['videos\\movie\\mrbean_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 13:27:47 287614
10,0,['videos\\animated\\titans_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-23 14:20:52 976421
10,0,['videos\\animated\\titans_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 14:20:52 976421
10,0,['videos\\animated\\titans_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-23 14:20:52 976421
10,0,['videos\\animated\\titans_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],uniteresting_content,on,2023-10-23 14:20:52 976421
10,0,['videos\\animated\\titans_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],stop_watching,on,2023-10-23 14:20:52 976421
10,1,['videos\\documentary\\spreader_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],radio,4,2023-10-23 14:22:12 098176
10,1,['videos\\documentary\\spreader_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 14:22:12 098176
10,1,['videos\\documentary\\spreader_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-23 14:22:12 098176
10,2,['videos\\gaming\\pocket_vodafone_IE_2019.02.26_17.47.50_R2-V0-A1-UP0-SD4.mkv'],radio,3,2023-10-23 14:23:22 451675
10,2,['videos\\gaming\\pocket_vodafone_IE_2019.02.26_17.47.50_R2-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 14:23:22 451675
10,2,['videos\\gaming\\pocket_vodafone_IE_2019.02.26_17.47.50_R2-V0-A1-UP0-SD4.mkv'],uniteresting_content,on,2023-10-23 14:23:22 451675
10,2,['videos\\gaming\\pocket_vodafone_IE_2019.02.26_17.47.50_R2-V0-A1-UP0-SD4.mkv'],stop_watching,on,2023-10-23 14:23:22 451675
10,3,['videos\\movie\\mrbean_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],radio,3,2023-10-23 14:28:45 909014
10,3,['videos\\movie\\mrbean_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 14:28:45 909014
10,3,['videos\\movie\\mrbean_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-23 14:28:45 909014
10,4,['videos\\music\\rmoff_report.2011-04-21_1135CEST_R2-V0-A1-UP0-SD4.mkv'],radio,4,2023-10-23 14:32:03 968894
10,4,['videos\\music\\rmoff_report.2011-04-21_1135CEST_R2-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-23 14:32:03 968894
10,4,['videos\\music\\rmoff_report.2011-04-21_1135CEST_R2-V0-A1-UP0-SD4.mkv'],stop_watching,on,2023-10-23 14:32:03 968894
10,5,['videos\\news\\everton_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-23 14:37:24 534709
10,5,['videos\\news\\everton_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],stalling,on,2023-10-23 14:37:24 534709
10,5,['videos\\news\\everton_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 14:37:24 534709
10,5,['videos\\news\\everton_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],uniteresting_content,on,2023-10-23 14:37:24 534709
10,5,['videos\\news\\everton_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],stop_watching,on,2023-10-23 14:37:24 534709
10,6,['videos\\sport\\tycr7_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-23 14:42:44 993265
10,6,['videos\\sport\\tycr7_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],stalling,on,2023-10-23 14:42:44 993265
10,6,['videos\\sport\\tycr7_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 14:42:44 993265
10,6,['videos\\sport\\tycr7_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-23 14:42:44 993265
10,6,['videos\\sport\\tycr7_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],stop_watching,on,2023-10-23 14:42:44 993265
11,0,['videos\\animated\\penc_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],radio,5,2023-10-23 14:51:31 078698
11,0,['videos\\animated\\penc_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 14:51:31 078698
11,0,['videos\\animated\\penc_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],stop_watching,on,2023-10-23 14:51:31 078698
11,1,['videos\\documentary\\fb35_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-23 14:56:45 731679
11,1,['videos\\documentary\\fb35_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 14:56:45 731679
11,1,['videos\\documentary\\fb35_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-23 14:56:45 731679
11,1,['videos\\documentary\\fb35_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],artifacts,on,2023-10-23 14:56:45 731679
11,1,['videos\\documentary\\fb35_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],stop_watching,on,2023-10-23 14:56:45 731679
11,2,['videos\\gaming\\ds_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-23 15:00:25 111522
11,2,['videos\\gaming\\ds_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 15:00:25 111522
11,2,['videos\\gaming\\ds_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-23 15:00:25 111522
11,2,['videos\\gaming\\ds_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],artifacts,on,2023-10-23 15:00:25 111522
11,3,['videos\\movie\\terminator_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-23 15:02:04 466134
11,3,['videos\\movie\\terminator_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-23 15:02:04 466134
11,3,['videos\\movie\\terminator_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],stop_watching,on,2023-10-23 15:02:04 466134
11,4,['videos\\music\\lestwins_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-23 15:07:23 508569
11,4,['videos\\music\\lestwins_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 15:07:23 508569
11,4,['videos\\music\\lestwins_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-23 15:07:23 508569
11,4,['videos\\music\\lestwins_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],artifacts,on,2023-10-23 15:07:23 508569
11,4,['videos\\music\\lestwins_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],uniteresting_content,on,2023-10-23 15:07:23 508569
11,4,['videos\\music\\lestwins_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],stop_watching,on,2023-10-23 15:07:23 508569
11,5,['videos\\news\\fox_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],radio,3,2023-10-23 15:13:04 465530
11,5,['videos\\news\\fox_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 15:13:04 465530
11,5,['videos\\news\\fox_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-23 15:13:04 465530
11,5,['videos\\news\\fox_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],uniteresting_content,on,2023-10-23 15:13:04 465530
11,5,['videos\\news\\fox_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],stop_watching,on,2023-10-23 15:13:04 465530
11,6,['videos\\sport\\tycr7_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],radio,4,2023-10-23 15:18:18 065141
11,6,['videos\\sport\\tycr7_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 15:18:18 065141
11,6,['videos\\sport\\tycr7_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-23 15:18:18 065141
12,0,['videos\\animated\\penc_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],radio,3,2023-10-23 16:47:19 596752
12,0,['videos\\animated\\penc_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],artifacts,on,2023-10-23 16:47:19 596752
12,0,['videos\\animated\\penc_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],uniteresting_content,on,2023-10-23 16:47:19 596752
12,0,['videos\\animated\\penc_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],stop_watching,on,2023-10-23 16:47:19 596752
12,1,['videos\\documentary\\fb35_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],radio,3,2023-10-23 16:52:44 049722
12,1,['videos\\documentary\\fb35_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],stop_watching,on,2023-10-23 16:52:44 049722
12,2,['videos\\gaming\\pocket_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-23 16:53:47 525481
12,2,['videos\\gaming\\pocket_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 16:53:47 525481
12,2,['videos\\gaming\\pocket_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],uniteresting_content,on,2023-10-23 16:53:47 525481
12,2,['videos\\gaming\\pocket_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],stop_watching,on,2023-10-23 16:53:47 525481
13,0,['videos\\animated\\penc_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],radio,4,2023-10-23 17:10:03 492881
13,0,['videos\\animated\\penc_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 17:10:03 492881
13,1,['videos\\documentary\\fb35_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],radio,1,2023-10-23 17:15:22 942940
13,1,['videos\\documentary\\fb35_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 17:15:22 942940
13,1,['videos\\documentary\\fb35_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-23 17:15:22 942940
13,1,['videos\\documentary\\fb35_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],uniteresting_content,on,2023-10-23 17:15:22 942940
13,1,['videos\\documentary\\fb35_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],stop_watching,on,2023-10-23 17:15:22 942940
13,2,['videos\\gaming\\ds_report.2011-04-21_1135CEST_R2-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-23 17:19:12 037608
13,2,['videos\\gaming\\ds_report.2011-04-21_1135CEST_R2-V0-A1-UP0-SD4.mkv'],stalling,on,2023-10-23 17:19:12 037608
13,2,['videos\\gaming\\ds_report.2011-04-21_1135CEST_R2-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 17:19:12 037608
13,2,['videos\\gaming\\ds_report.2011-04-21_1135CEST_R2-V0-A1-UP0-SD4.mkv'],stop_watching,on,2023-10-23 17:19:12 037608
13,3,['videos\\movie\\mrbean_vodafone_IE_2019.02.26_17.47.50_R2-V0-A1-UP0-SD4.mkv'],radio,5,2023-10-23 17:24:21 004964
13,3,['videos\\movie\\mrbean_vodafone_IE_2019.02.26_17.47.50_R2-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 17:24:21 004964
13,4,['videos\\music\\lestwins_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],radio,3,2023-10-23 17:29:36 366271
13,4,['videos\\music\\lestwins_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],stalling,on,2023-10-23 17:29:36 366271
13,4,['videos\\music\\lestwins_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 17:29:36 366271
13,4,['videos\\music\\lestwins_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],stop_watching,on,2023-10-23 17:29:36 366271
13,5,['videos\\news\\fox_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-23 17:35:15 702629
13,5,['videos\\news\\fox_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 17:35:15 702629
13,5,['videos\\news\\fox_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],uniteresting_content,on,2023-10-23 17:35:15 702629
13,5,['videos\\news\\fox_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],stop_watching,on,2023-10-23 17:35:15 702629
13,6,['videos\\sport\\tycr7_report.2011-04-21_1135CEST_R2-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-23 17:40:29 885503
13,6,['videos\\sport\\tycr7_report.2011-04-21_1135CEST_R2-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-23 17:40:29 885503
13,6,['videos\\sport\\tycr7_report.2011-04-21_1135CEST_R2-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-23 17:40:29 885503
14,0,['videos\\animated\\penc_vodafone_IE_2019.02.26_17.47.50_R2-V0-A1-UP0-SD4.mkv'],radio,4,2023-10-24 11:11:14 414597
14,0,['videos\\animated\\penc_vodafone_IE_2019.02.26_17.47.50_R2-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-24 11:11:14 414597
14,1,['videos\\documentary\\spreader_report.2011-04-21_1135CEST_R2-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-24 11:12:39 177851
14,1,['videos\\documentary\\spreader_report.2011-04-21_1135CEST_R2-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-24 11:12:39 177851
14,1,['videos\\documentary\\spreader_report.2011-04-21_1135CEST_R2-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-24 11:12:39 177851
14,2,['videos\\gaming\\ds_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-24 11:16:16 382132
14,2,['videos\\gaming\\ds_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],stalling,on,2023-10-24 11:16:16 382132
14,2,['videos\\gaming\\ds_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-24 11:16:16 382132
14,2,['videos\\gaming\\ds_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],artifacts,on,2023-10-24 11:16:16 382132
14,3,['videos\\movie\\terminator_report.2011-04-21_1135CEST_R2-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-24 11:17:54 499969
14,3,['videos\\movie\\terminator_report.2011-04-21_1135CEST_R2-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-24 11:17:54 499969
14,3,['videos\\movie\\terminator_report.2011-04-21_1135CEST_R2-V0-A1-UP0-SD4.mkv'],artifacts,on,2023-10-24 11:17:54 499969
14,4,['videos\\music\\lestwins_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-24 11:23:19 367298
14,4,['videos\\music\\lestwins_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],stalling,on,2023-10-24 11:23:19 367298
14,4,['videos\\music\\lestwins_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-24 11:23:19 367298
14,4,['videos\\music\\lestwins_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-24 11:23:19 367298
14,4,['videos\\music\\lestwins_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],artifacts,on,2023-10-24 11:23:19 367298
14,4,['videos\\music\\lestwins_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],uniteresting_content,on,2023-10-24 11:23:19 367298
14,4,['videos\\music\\lestwins_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],stop_watching,on,2023-10-24 11:23:19 367298
14,5,['videos\\news\\everton_vodafone_IE_2019.02.26_17.47.50_R2-V0-A1-UP0-SD4.mkv'],radio,4,2023-10-24 11:28:30 329490
14,5,['videos\\news\\everton_vodafone_IE_2019.02.26_17.47.50_R2-V0-A1-UP0-SD4.mkv'],uniteresting_content,on,2023-10-24 11:28:30 329490
14,5,['videos\\news\\everton_vodafone_IE_2019.02.26_17.47.50_R2-V0-A1-UP0-SD4.mkv'],stop_watching,on,2023-10-24 11:28:30 329490
14,6,['videos\\sport\\sopercopa_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],radio,4,2023-10-24 11:31:10 910192
14,6,['videos\\sport\\sopercopa_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-24 11:31:10 910192
15,0,['videos\\animated\\penc_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],radio,3,2023-10-24 11:39:11 418803
15,0,['videos\\animated\\penc_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-24 11:39:11 418803
15,0,['videos\\animated\\penc_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-24 11:39:11 418803
15,0,['videos\\animated\\penc_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],artifacts,on,2023-10-24 11:39:11 418803
15,1,['videos\\documentary\\fb35_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],radio,4,2023-10-24 11:44:24 827355
15,1,['videos\\documentary\\fb35_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-24 11:44:24 827355
